"Numer","Wartość","Data (Data rozpoczęcia)","Termin zakończenia","Norma rbh do wykonania [h]"
"2269/E/09/21","E02","2021-10-15","2021-10-15 16:05","3:23"
"2270/E/09/21","E04","2021-10-15","2021-10-15 15:58","0:38"
"2277/E/09/21","E08","2021-10-15","2021-10-15 13:45","4:53"
"2278/E/09/21","E08","2021-10-15","2021-10-15 13:31","4:27"
"2279/E/09/21","E08","2021-10-15","2021-10-15 13:38","4:27"
"2280/E/09/21","E07","2021-10-15","2021-10-15 16:12","4:12"
"2281/E/09/21","E07","2021-10-15","2021-10-15 16:19","4:12"
"2282/E/09/21","E07","2021-10-15","2021-10-15 15:51","3:31"
"2283/E/09/21","E05","2021-10-15","2021-10-15 14:13","1:42"
"2284/E/09/21","E02","2021-10-15","2021-10-15 16:26","1:04"
"2288/E/09/21","E05","2021-10-15","2021-10-15 15:44","1:02"
"2289/E/09/21","E02","2021-10-14","2021-10-15 09:05","4:09"
"2290/E/09/21","E05","2021-10-14","2021-10-15 06:28","2:30"
"2291/E/09/21","E05","2021-10-14","2021-10-15 06:21","2:30"
"2292/E/09/21","E05","2021-10-14","2021-10-15 06:07","2:30"
"2293/E/09/21","E05","2021-10-14","2021-10-15 06:14","2:30"
"2294/E/09/21","E05","2021-10-14","2021-10-15 07:20","2:30"
"2295/E/09/21","E05","2021-10-14","2021-10-15 07:27","2:30"
"2296/E/09/21","E05","2021-10-14","2021-10-14 19:40","2:30"
"2297/E/09/21","E05","2021-10-14","2021-10-14 19:33","2:30"
"2298/E/09/21","E05","2021-10-14","2021-10-15 08:58","2:30"
"2299/E/09/21","E05","2021-10-14","2021-10-15 08:51","2:30"
"2300/E/09/21","E08","2021-10-14","2021-10-15 08:37","3:56"
"2301/E/09/21","E08","2021-10-14","2021-10-15 08:44","3:56"
"2302/E/09/21","E08","2021-10-14","2021-10-15 08:02","3:56"
"2303/E/09/21","E08","2021-10-14","2021-10-15 07:55","3:56"
"2304/E/09/21","E08","2021-10-14","2021-10-15 08:16","3:56"
"2305/E/09/21","E08","2021-10-14","2021-10-15 08:09","3:56"
"2306/E/09/21","E08","2021-10-14","2021-10-15 08:23","3:56"
"2307/E/09/21","E08","2021-10-14","2021-10-15 08:30","3:56"
"2308/E/09/21","E08","2021-10-14","2021-10-15 07:46","3:56"
"2309/E/09/21","E08","2021-10-14","2021-10-15 07:39","3:56"
"2310/E/09/21","E03","2021-10-15","2021-10-15 16:40","1:34"
"2312/E/09/21","E04","2021-10-15","2021-10-15 17:15","1:09"
"2313/E/09/21","E04","2021-10-15","2021-10-15 17:08","0:42"
"2314/E/09/21","E05","2021-10-15","2021-10-15 17:01","3:49"
"2315/E/09/21","E05","2021-10-15","2021-10-15 16:54","1:11"
"2316/E/09/21","E09","2021-10-15","2021-10-15 16:47","1:36"
"2317/E/09/21","E02","2021-10-15","2021-10-15 17:22","1:25"
"2327/E/09/21","E03","2021-10-15","2021-10-15 17:43","4:43"
"2328/E/09/21","E07","2021-10-15","2021-10-15 17:36","3:00"
"2329/E/09/21","E07","2021-10-15","2021-10-15 17:29","3:10"
"2330/E/09/21","E03","2021-10-15","2021-10-18 06:26","4:16"
"2371/E/09/21","E03","2021-10-15","2021-10-18 07:18","4:31"
"2372/E/09/21","E03","2021-10-15","2021-10-18 08:24","4:31"
"2373/E/09/21","E03","2021-10-18","2021-10-18 08:31","1:26"
"2374/E/09/21","E05","2021-10-15","2021-10-18 08:59","3:51"
"2375/E/09/21","E05","2021-10-15","2021-10-18 08:52","2:42"
"2378/E/09/21","E06","2021-10-15","2021-10-15 17:50","1:41"
"2379/E/09/21","E05","2021-10-15","2021-10-18 09:06","4:27"
"2380/E/09/21","E05","2021-10-15","2021-10-15 18:53","0:59"
"2381/E/09/21","E08","2021-10-15","2021-10-15 17:57","2:47"
"2382/E/09/21","E05","2021-10-15","2021-10-15 16:33","1:10"
"2383/E/09/21","E08","2021-10-15","2021-10-18 07:25","4:29"
"2388/E/09/21","E06","2021-10-15","2021-10-18 06:47","1:24"
"2391/E/09/21","E07","2021-10-15","2021-10-18 08:45","3:49"
"2392/E/09/21","E03","2021-10-15","2021-10-18 10:47","4:24"
"2393/E/09/21","E03","2021-10-18","2021-10-18 10:54","2:04"
"2394/E/09/21","E03","2021-10-18","2021-10-18 11:23","4:20"
"2395/E/09/21","E03","2021-10-15","2021-10-18 11:16","1:14"
"2396/E/09/21","E05","2021-10-15","2021-10-18 07:46","2:59"
"2397/E/09/21","E04","2021-10-15","2021-10-18 07:39","2:04"
"2398/E/09/21","E05","2021-10-15","2021-10-15 19:00","1:02"
"2399/E/09/21","E06","2021-10-15","2021-10-18 07:32","2:13"
